Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
Donald Hodge,Donald Jerome Hodge,Position: Center and Power Forward Ñ”? Shoots: Right,"7-0, 230lb (213cm, 104kg)","Born: February 25, 1969 (Age: 54-236d) in Washington, District of Columbia us",College: Temple,"High School: Coolidge in Washington, District of Columbia","Draft: Dallas Mavericks, 2nd round (6th pick, 33rd overall), 1991 NBA Draft","NBA Debut: November 1, 1991",Career Length: 5 years,,,,,
Julius Hodge,Julius Melvin Hodge Ñ”? Twitter: Follow24Hodge,Position: Shooting Guard Ñ”? Shoots: Right,"6-7, 210lb (201cm, 95kg)","Born: November 18, 1983 (Age: 39-335d) in New York, New York us",College: NC State,"High School: St. Raymond in Bronx, New York",Recruiting Rank: 2001 (7),"Draft: Denver Nuggets, 1st round (20th pick, 20th overall), 2005 NBA Draft","NBA Debut: November 13, 2005",Career Length: 2 years,,,,
Craig Hodges,Craig Anthony Hodges,Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-2, 190lb (188cm, 86kg)","Born: June 27, 1960 (Age: 63-114d) in Park Forest, Illinois us",College: Cal State Long Beach,"High School: Rich East in Park Forest, Illinois","Draft: San Diego Clippers, 3rd round (2nd pick, 48th overall), 1982 NBA Draft","NBA Debut: October 29, 1982",Career Length: 10 years,,,,,
Charlie Hoefer,Adolph Charles Hoefer,(Dutch),Position: Guard Ñ”? Shoots: Right,"5-9, 158lb (175cm, 71kg)","Born: September 16, 1921 in Frankfort, Germany de","Died: June 12, 1983 (Aged 61-269d)",College: Queens College,"High School: Newtown in Queens, New York","NBA Debut: November 1, 1946",Career Length: 2 years,,,,
Paul Hoffman,Paul James Hoffman,"(Bear, The Body)",Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-2, 195lb (188cm, 88kg)","Born: April 12, 1925","Died: November 12, 1998 (Aged 73-214d)",,,,,,,,
Bob Hogsett,Robert L. Hogsett,(Bobby),Position: Power Forward Ñ”? Shoots: Right,"6-7, 230lb (201cm, 104kg)","Born: January 29, 1941","Died: December 5, 1984 (Aged 43-311d)",College: Tennessee,"High School: Holston Valley in Holston Valley, Tennessee","NBA Debut: February 19, 1967 Ñ”? ABA Debut: October 23, 1967",Career Length: 2 years,,,,
Paul Hogue,Paul H. Hogue,(Duke),Position: Center Ñ”? Shoots: Right,"6-9, 240lb (206cm, 108kg)","Born: April 28, 1940 in Knoxville, Tennessee us","Died: August 17, 2009 (Aged 69-111d)",,,,,,,,
Fred Hoiberg,,(The Mayor),Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 203lb (193cm, 92kg)","Born: October 15, 1972 (Age: 51-004d) in Lincoln, Nebraska us",College: Iowa State,"High School: Ames in Ames, Iowa","Draft: Indiana Pacers, 2nd round (23rd pick, 52nd overall), 1995 NBA Draft","NBA Debut: November 4, 1995",Career Length: 10 years,,,,
Doug Holcomb,Douglas M. Holcomb,Position: Forward Ñ”? Shoots: Right,"6-4, 200lb (193cm, 90kg)","Born: February 9, 1925","Died: February 3, 2008 (Aged 82-359d)",College: Wisconsin,Career Length: 1 year,,,,,,,
Randy Holcomb,Randy Alfred Holcomb,Position: Small Forward Ñ”? Shoots: Left,"6-9, 225lb (206cm, 102kg)","Born: August 8, 1979 (Age: 44-072d) in Chicago, Illinois us","Colleges: Fresno State, San Diego State","High School: Lincoln Park in Chicago, Illinois","Draft: San Antonio Spurs, 2nd round (28th pick, 57th overall), 2002 NBA Draft","NBA Debut: January 6, 2006",Career Length: 1 year,,,,,
Aaron Holiday,,Position: Point Guard Ñ”? Shoots: Right,"6-0, 185lb (183cm, 83kg)","Born: September 30, 1996 (Age: 27-019d) in Ruston, Louisiana us","Relatives: Brothers Jrue Holiday, Justin Holiday",College: UCLA,,,,,,,,
Jrue Holiday,,Jrue Randall Holiday Ñ”? Twitter: Jrue_Holiday11 Ñ”? Instagram: jrue_holiday11,"(JHolla, The Jruth, Kung fu Jrue)",Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-3, 205lb (190cm, 92kg)","Born: June 12, 1990 (Age: 33-129d) in Chatsworth, California us",,,,,,,,
Justin Holiday,,(The Fireman),Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-6, 180lb (198cm, 81kg)","Born: April 5, 1989 (Age: 34-197d) in Mission Hills, California us","Relatives: Brothers Jrue Holiday, Aaron Holiday",,,,,,,,
Brad Holland,,(Potsie Weber),Position: Shooting Guard Ñ”? Shoots: Right,"6-3, 180lb (190cm, 81kg)","Born: December 6, 1956 (Age: 66-317d) in Billings, Montana us",College: UCLA,,,,,,,,
Joe Holland,Joseph Burnett Holland Sr.,Position: Small Forward Ñ”? Shoots: Right,"6-4, 185lb (193cm, 83kg)","Born: September 26, 1925 in Birmingham, Kentucky us","Died: September 18, 2010 (Aged 84-357d)",College: Kentucky,"High School: Benton in Benton, Kentucky","Draft: Baltimore Bullets, 2nd round, 1948 BAA Draft","NBA Debut: November 1, 1949",Career Length: 3 years,,,,
John Holland,,Position: Small Forward Ñ”? Shoots: Right,"6-5, 205lb (196cm, 92kg)","Born: November 6, 1988 (Age: 34-347d) in Bronx, New York us",College: Boston University,"High School: St. Benedict's Prep in Newark, New Jersey","NBA Debut: April 19, 2016",Career Length: 3 years,,,,,,
Wilbur Holland,Wilbur Holland,Position: Shooting Guard Ñ”? Shoots: Left,"6-0, 175lb (183cm, 79kg)","Born: November 8, 1951 in Columbus, Georgia us","Died: October 15, 2022 (Aged 70-341d)",College: New Orleans,"Draft: Atlanta Hawks, 5th round (3rd pick, 75th overall), 1975 NBA Draft","NBA Debut: October 23, 1975",Career Length: 4 years,,,,,
Lionel Hollins,,(L-Train),Position: Point Guard and Shooting Guard Ñ”? Shoots: Left,"6-3, 185lb (190cm, 83kg)","Born: October 19, 1953 (Age: 70-000d, Happy Birthday!) in Arkansas City, Kansas us",College: Arizona State,,,,,,,,
Ryan Hollins,,Position: Center and Power Forward Ñ”? Shoots: Right,"7-0, 240lb (213cm, 108kg)","Born: October 10, 1984 (Age: 39-009d) in Pasadena, California us",College: UCLA,"High School: John Muir in Pasadena, California","Draft: Charlotte Bobcats, 2nd round (20th pick, 50th overall), 2006 NBA Draft","NBA Debut: January 17, 2007",Career Length: 10 years,,,,,
Essie Hollis,Essie Bernard Hollis,Position: Small Forward Ñ”? Shoots: Right,"6-6, 195lb (198cm, 88kg)","Born: May 16, 1955 (Age: 68-156d) in Erie, Pennsylvania us",College: St. Bonaventure,"Draft: New Orleans Jazz, 2nd round (22nd pick, 44th overall), 1977 NBA Draft","NBA Debut: November 28, 1978",Career Length: 1 year,,,,,,
Rondae Hollis-Jefferson,,Rondae Jaquan Hollis-Jefferson Ñ”? Twitter: IAmCHAP24 Ñ”? Instagram: chap,(RHJ),Position: Small Forward and Power Forward Ñ”? Shoots: Left,"6-6, 217lb (198cm, 98kg)","Born: January 3, 1995 (Age: 28-289d) in Chester, Pennsylvania us",,,,,,,,
Dennis Holman,Dennis R. Holman,(Denny),Position: Point Guard Ñ”? Shoots: Right,"6-3, 175lb (190cm, 79kg)","Born: October 8, 1945 (Age: 78-011d)",College: SMU,"ABA Debut: October 16, 1967",Career Length: 1 year,,,,,,
Richaun Holmes,,Richaun Diante Holmes Ñ”? Twitter: Rich_Holmes22 Ñ”? Instagram: rich_holmes22,(Dunkman),Position: Center and Power Forward Ñ”? Shoots: Right,"6-10, 235lb (208cm, 106kg)","Born: October 15, 1993 (Age: 30-004d) in Lockport, Illinois us",,,,,,,,
Jim Holstein,James H. Holstein,Position: Small Forward Ñ”? Shoots: Right,"6-3, 180lb (190cm, 81kg)","Born: September 24, 1930 in Hamilton, Ohio us","Died: December 16, 2007 (Aged 77-083d)",College: Cincinnati,,,,,,,,
A.W. Holt,Alvin William Holt,Position: Small Forward Ñ”? Shoots: Right,"6-7, 210lb (201cm, 95kg)","Born: August 26, 1946 (Age: 77-054d)",College: Jackson State University,"High School: Brinkley in Jackson, Mississippi","NBA Debut: October 25, 1970",Career Length: 1 year,,,,,,
Michael Holton,Michael David Holton Ñ”? Twitter: mdhhoops,Position: Point Guard and Shooting Guard Ñ”? Shoots: Left,"6-4, 185lb (193cm, 83kg)","Born: August 4, 1961 (Age: 62-076d) in Seattle, Washington us",College: UCLA,"High School: Pasadena in Pasadena, California","Draft: Golden State Warriors, 3rd round (6th pick, 53rd overall), 1983 NBA Draft","NBA Debut: October 26, 1984",Career Length: 6 years,,,,,
Dick Holub,Richard Wenzel Holub,Position: Center Ñ”? Shoots: Right,"6-6, 205lb (198cm, 92kg)","Born: October 29, 1921 in Racine, Wisconsin us","Died: July 27, 2009 (Aged 87-271d)",College: Long Island University,"Draft: New York Knicks, 1st round (5th pick, 5th overall), 1947 BAA Draft","NBA Debut: November 13, 1947",Career Length: 1 year,,,,,
Joe Holup,Joseph J. Holup,Position: Small Forward Ñ”? Shoots: Right,"6-6, 215lb (198cm, 97kg)","Born: February 26, 1934 in Swoyersville, Pennsylvania us","Died: January 28, 1998 (Aged 63-336d)",College: George Washington,"High School: Swoyersville in Swoyersville, Pennsylvania","Draft: Syracuse Nationals, 1st round (5th pick, 5th overall), 1956 NBA Draft","NBA Debut: October 27, 1956",Career Length: 3 years,,,,
Red Holzman,William Holzman,Position: Point Guard Ñ”? Shoots: Right,"5-10, 175lb (178cm, 79kg)","Born: August 10, 1920 in Brooklyn, New York us","Died: November 13, 1998 (Aged 78-095d)",College: City College of New York,,,,,,,,
Jerald Honeycutt,Jerald DeWayne Honeycutt,Position: Power Forward Ñ”? Shoots: Right,"6-9, 245lb (206cm, 111kg)","Born: October 20, 1974 (Age: 48-364d) in Shreveport, Louisiana us",College: Tulane,"High School: Grambling in Grambling, Louisiana","Draft: Milwaukee Bucks, 2nd round (10th pick, 39th overall), 1997 NBA Draft","NBA Debut: October 31, 1997",Career Length: 2 years,,,,,
Tyler Honeycutt,,Position: Small Forward Ñ”? Shoots: Right,"6-8, 188lb (203cm, 85kg)","Born: July 15, 1990 in Los Angeles, California us","Died: July 6, 2018 (Aged 27-356d)",College: UCLA,,,,,,,,
Derek Hood,Derek Dwayne Hood,Position: Power Forward Ñ”? Shoots: Right,"6-8, 222lb (203cm, 100kg)","Born: December 22, 1976 (Age: 46-301d) in Kansas City, Missouri us",College: Arkansas,"High School: Central in Kansas City, Missouri","NBA Debut: November 2, 1999",Career Length: 1 year,,,,,,
Rodney Hood,,"Position: Shooting Guard, Small Forward, and Power Forward Ñ”? Shoots: Left","6-8, 208lb (203cm, 94kg)","Born: October 20, 1992 (Age: 30-364d) in Meridian, Mississippi us","Colleges: Mississippi State, Duke","High School: Meridian in Meridian, Mississippi",Recruiting Rank: 2011 (27),"Draft: Utah Jazz, 1st round (23rd pick, 23rd overall), 2014 NBA Draft","NBA Debut: October 29, 2014",Career Length: 8 years,,,,
Bobby Hooper,Bobby Joe Hooper,"(Bobby Joe, Bob)",Position: Point Guard Ñ”? Shoots: Right,"6-0, 180lb (183cm, 81kg)","Born: December 22, 1946 (Age: 76-301d) in Lee's Creek, Ohio us",College: Dayton,"Draft: New York Knicks, 8th round (8th pick, 100th overall), 1968 NBA Draft","ABA Debut: October 18, 1968",Career Length: 1 year,,,,,
Carroll Hooser,Carroll L. Hooser,Position: Power Forward Ñ”? Shoots: Right,"6-7, 230lb (201cm, 104kg)","Born: March 5, 1944 (Age: 79-228d) in Dallas, Texas us",College: SMU,"High School: Richardson in Richardson, Texas","Draft: Detroit Pistons, 6th round (2nd pick, 52nd overall), 1966 NBA Draft","ABA Debut: October 16, 1967",Career Length: 1 year,,,,,
Tom Hoover,Thomas Lee Hoover Jr.,Position: Center Ñ”? Shoots: Right,"6-9, 230lb (206cm, 104kg)","Born: January 23, 1941 (Age: 82-269d) in Washington, District of Columbia us",College: Villanova,"High School: Archbishop Carroll in Washington, District of Columbia","Draft: Philadelphia 76ers, 1st round (7th pick, 7th overall), 1963 NBA Draft","NBA Debut: October 29, 1963 Ñ”? ABA Debut: October 15, 1967",Career Length: 6 years,,,,,
Bob Hopkins,Robert M. Hopkins,Position: Power Forward and Center Ñ”? Shoots: Right,"6-8, 205lb (203cm, 92kg)","Born: November 3, 1934 in Jonesboro, Louisiana us","Died: May 15, 2015 (Aged 80-193d)",Relatives: Cousin Bill Russell,,,,,,,,
Dave Hoppen,David Dirk Hoppen,Position: Center Ñ”? Shoots: Right,"6-11, 235lb (211cm, 106kg)","Born: March 13, 1964 (Age: 59-220d) in Omaha, Nebraska us",College: Nebraska,"High School: Benson in Omaha, Nebraska","Draft: Atlanta Hawks, 3rd round (18th pick, 65th overall), 1986 NBA Draft","NBA Debut: January 14, 1988",Career Length: 6 years,,,,,
Dennis Hopson,Dennis Hopson,Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-5, 200lb (196cm, 90kg)","Born: April 22, 1965 (Age: 58-180d) in Toledo, Ohio us",College: Ohio State,"High School: E.L. Bowsher in Toledo, Ohio","Draft: New Jersey Nets, 1st round (3rd pick, 3rd overall), 1987 NBA Draft","NBA Debut: November 6, 1987",Career Length: 5 years,,,,,
Scotty Hopson,,Position: Shooting Guard Ñ”? Shoots: Right,"6-7, 204lb (201cm, 92kg)","Born: August 8, 1989 (Age: 34-072d) in Hopkinsville, Kentucky us",College: Tennessee,"High School: University Heights Academy in Hopkinsville, Kentucky",Recruiting Rank: 2008 (11),"NBA Debut: April 2, 2014",Experience: 3 years,,,,,
Johnny Horan,John F. Horan,(The Vertical Hyphen),Position: Forward Ñ”? Shoots: Right,"6-8, 190lb (203cm, 86kg)","Born: November 24, 1932 in Minneapolis, Minnesota us","Died: November 14, 1980 (Aged 47-356d)",,,,,,,,
Cedrick Hordges,Cedrick Tyrone Hordges,Position: Power Forward Ñ”? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: January 8, 1957 (Age: 66-284d) in Montgomery, Alabama us","Colleges: Auburn, South Carolina","High School: Robert E. Lee in Montgomery, Alabama","Draft: Chicago Bulls, 3rd round (5th pick, 49th overall), 1979 NBA Draft","NBA Debut: October 10, 1980",Career Length: 2 years,,,,,
Al Horford,,(Full name Alfred Joel Horford Reynoso),(Godfather),Position: Center Ñ”? Shoots: Right,"6-9, 240lb (206cm, 108kg)","Born: June 3, 1986 (Age: 37-138d) in Puerto Plata, Dominican Republic do",,,,,,,,
Tito Horford,Alfredo William Horford,Position: Center Ñ”? Shoots: Right,"7-1, 245lb (216cm, 111kg)","Born: January 19, 1966 (Age: 57-273d) in La Romana, Dominican Republic do","Relatives: Sons Al Horford, Jon Horford",College: Miami (FL),"High School: Marian Christian in Houston, Texas","Draft: Milwaukee Bucks, 2nd round (14th pick, 39th overall), 1988 NBA Draft","NBA Debut: November 9, 1988",Career Length: 3 years,,,,
Ron Horn,Ronnie Leroy Horn,Position: Small Forward Ñ”? Shoots: Right,"6-7, 220lb (201cm, 99kg)","Born: May 24, 1938 in Marion, Indiana us","Died: October 5, 2002 (Aged 64-134d)",College: Indiana,"High School: Mississinewa in Gas City, Indiana","Draft: St. Louis Hawks, 2nd round (11th pick, 21st overall), 1961 NBA Draft","NBA Debut: November 22, 1961 Ñ”? ABA Debut: October 15, 1967",Career Length: 3 years,,,,
Jeff Hornacek,,Jeffrey John Hornacek,"(Horny, Scarecrow, The Paperboy)",Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-3, 190lb (190cm, 86kg)","Born: May 3, 1963 (Age: 60-169d) in Elmhurst, Illinois us",,,,,,,,
Dennis Horner,,Position: Power Forward Ñ”? Shoots: Right,"6-9, 230lb (206cm, 104kg)","Born: February 5, 1988 (Age: 35-256d) in Linwood, New Jersey us",College: NC State,"High School: Holy Spirit in Absecon, New Jersey","NBA Debut: December 27, 2011",Career Length: 1 year,,,,,,
Robert Horry,Pronunciation: \ORE-ee\,Robert Keith Horry,"(Big Shot Rob, Big Shot Bob, The Key Man)",Position: Power Forward and Small Forward Ñ”? Shoots: Right,"6-10, 240lb (208cm, 108kg)","Born: August 25, 1970 (Age: 53-055d) in Andalusia, Alabama us",,,,,,,,
Ed Horton,Edward C. Horton,Position: Power Forward Ñ”? Shoots: Right,"6-8, 230lb (203cm, 104kg)","Born: December 17, 1967 (Age: 55-306d) in Springfield, Illinois us",College: Iowa,"High School: Lanphier in Springfield, Illinois","Draft: Washington Bullets, 2nd round (12th pick, 39th overall), 1989 NBA Draft","NBA Debut: November 3, 1989",Career Length: 1 year,,,,,
Talen Horton-Tucker,,Talen Jalee Horton-Tucker Ñ”? Twitter: Thortontucker Ñ”? Instagram: 5talen,(THT),Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 234lb (193cm, 106kg)","Born: November 25, 2000 (Age: 22-328d) in Chicago, Illinois us",,,,,,,,
Bill Hosket,Wilmer Frederick Hosket,Position: Power Forward Ñ”? Shoots: Right,"6-8, 225lb (203cm, 102kg)","Born: December 20, 1946 (Age: 76-303d) in Dayton, Ohio us",Relatives: Father Bill Hosket,College: Ohio State,,,,,,,,
Bob Houbregs,Robert J. Houbregs,"(Houby, Bobby)",Position: Center and Power Forward Ñ”? Shoots: Right,"6-8, 225lb (203cm, 102kg)","Born: March 12, 1932 in Vancouver, British Columbia ca","Died: May 28, 2014 (Aged 82-077d)",,,,,,,,
Danuel House Jr.,,Danuel Kennedy House Jr. Ñ”? Twitter: DanuelHouseJr Ñ”? Instagram: dk2house,Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-6, 220lb (198cm, 99kg)","Born: June 7, 1993 (Age: 30-134d) in Houston, Texas us",College: Texas A&M,"High School: Hightower in Missouri City, Texas",Recruiting Rank: 2012 (29),"NBA Debut: November 11, 2016",Experience: 7 years,,,,
Eddie House,,Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-1, 180lb (185cm, 81kg)","Born: May 14, 1978 (Age: 45-158d) in Berkeley, California us",College: Arizona State,"High School: Hayward in Hayward, California","Draft: Miami Heat, 2nd round (8th pick, 37th overall), 2000 NBA Draft","NBA Debut: November 1, 2000",Career Length: 11 years,,,,,
Caleb Houstan,,Caleb Micheal David Houstan Ñ”? Twitter: CalebHoustan Ñ”? Instagram: _calebhoustan_,Position: Small Forward Ñ”? Shoots: Right,"6-8, 205lb (203cm, 92kg)","Born: January 9, 2003 (Age: 20-283d) in Mississauga, Ontario ca",College: Michigan,,,,,,,,
Allan Houston,,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 200lb (198cm, 90kg)","Born: April 20, 1971 (Age: 52-182d) in Louisville, Kentucky us",College: Tennessee,"High School: Ballard in Louisville, Kentucky","Draft: Detroit Pistons, 1st round (11th pick, 11th overall), 1993 NBA Draft","NBA Debut: November 5, 1993",Career Length: 12 years,,,,,
Byron Houston,Byron Dwight Houston,Position: Power Forward Ñ”? Shoots: Right,"6-5, 250lb (196cm, 113kg)","Born: November 22, 1969 (Age: 53-331d) in Watonga, Oklahoma us",Relatives: Father Curtis Perry,College: Oklahoma State,"High School: Star-Spencer in Spencer, Oklahoma","Draft: Chicago Bulls, 1st round (27th pick, 27th overall), 1992 NBA Draft","NBA Debut: November 6, 1992",Career Length: 4 years,,,,
Tom Hovasse,Thomas Wayne Hovasse,Position: Small Forward Ñ”? Shoots: Right,"6-8, 205lb (203cm, 92kg)","Born: January 31, 1967 (Age: 56-261d) in Durango, Colorado us",College: Penn State,"High School: Widefield in Security-Widefield, Colorado","NBA Debut: November 4, 1994",Career Length: 1 year,,,,,,
Brian Howard,Brian Eugene Howard,Position: Small Forward Ñ”? Shoots: Right,"6-6, 204lb (198cm, 92kg)","Born: October 19, 1967 (Age: 56-000d, Happy Birthday!) in Winston-Salem, North Carolina us",College: NC State,"High School: North Forsyth in Winston-Salem, North Carolina","NBA Debut: February 4, 1992",Career Length: 2 years,,,,,,
Dwight Howard,,"(Superman, D12, The Daily Double)",Position: Center and Power Forward Ñ”? Shoots: Right,"6-10, 265lb (208cm, 120kg)","Born: December 8, 1985 (Age: 37-315d) in Atlanta, Georgia us","High School: Southwest Atlanta Christian Academy in Atlanta, Georgia",,,,,,,,
Greg Howard,Gregory Darryle Howard,(Stretch),Position: Power Forward Ñ”? Shoots: Right,"6-9, 215lb (206cm, 97kg)","Born: January 8, 1948 (Age: 75-284d) in Pittsburgh, Pennsylvania us",College: New Mexico,"High School: Fifth Avenue in Pittsburgh, Pennsylvania","Draft: Phoenix Suns, 1st round (10th pick, 10th overall), 1970 NBA Draft","NBA Debut: October 15, 1970",Career Length: 2 years,,,,
